abbrev,common name,science name,max_length_female_cm,max_length_male_cm,mean_mass_female_kg,mean_mass_male_kg
hp,Harbour porpoise,Phocoena phocoena,189,178,32.6,29.5
gg,Risso's dolphin,Grampus griseus,366,383,211,236
zc,Cuvier's beaked whale,Ziphius cavirostris,660,693,886,771
sw,Sperm whale,Physeter macrocephalus,1200,1800,10098,26939
bb,Baird's beaked whale,Berardius bairdii,1200,1140,3794,2479
md,Bleinville's beaked whale,Mesoplodon densirostris,471,580,390,508
tt,Bottlenose dolphin,Tursiops truncatus,367,381,172,203
bw,Blue whale,Balaenoptera musculus,3358,3190,110126,95347
bp,Fin whale,Balaenoptera physalus,2700,2500,59819,51361
mn,Humpback whale,Megaptera novaeangliae,1860,1768,32493,28323
ba,Minke whale,Balaenoptera acutorostrata,1070,980,7011,6121